amfi_code,cagr,cagr_pct
120505,0.3280159948038617,32.8
119598,0.3239808398464554,32.4
149324,0.3226210752841656,32.26
148569,0.31924485848158723,31.92
148567,0.30949920362874206,30.95
120843,0.30883325525154603,30.88
100033,0.30099703552874524,30.1
149323,0.29558105232568344,29.56
119094,0.28192608222062465,28.19
119551,0.2578492084946409,25.78
118632,0.2403119561352478,24.03
101206,0.23520488754230384,23.52
120504,0.2327744753273051,23.28
148568,0.22499840384352243,22.5
119552,0.21508021785499332,21.51
125497,0.19003613208378556,19.0
120503,0.18771330105513617,18.77
102885,0.18218826089343754,18.22
120506,0.17072227512921923,17.07
102887,0.16828673461948984,16.83
118634,0.16361396476593382,16.36
118633,0.16262218000296524,16.26
118635,0.15945481185082522,15.95
120841,0.13522349085511554,13.52
149322,0.13383520958789363,13.38
125498,0.11293660210400969,11.29
101207,0.07933120999915699,7.93
119093,0.07891944369437343,7.89
120507,0.0723241093234459,7.23
120844,0.0691037983940288,6.91
120842,0.06696806255006482,6.7
101208,0.06504429821332125,6.5
119092,0.0636349475771898,6.36
119120,0.05885271270380055,5.89
118636,0.053131554027608274,5.31
100025,0.04455091155784441,4.46
100016,0.026352458116335464,2.64
119599,0.02053064146209893,2.05
119095,0.015204552427132478,1.52
102886,0.0117093879842316,1.17
