amfi_code,sharpe_ratio
120507,13.524343561565445
120844,12.447364675579795
101208,11.890846819241734
148567,1.9016611117550732
120843,1.7117924657090022
119551,1.6765582997755326
148569,1.5990240375272284
118632,1.536482459529055
120505,1.5136773148574738
149323,1.4947355231762343
120504,1.4745261162183931
101206,1.4689284556938418
100033,1.433514884573953
119552,1.4149216730956589
119120,1.3955317045613682
148568,1.3433551895179476
119094,1.329810368779613
102885,1.3183991958911483
120503,1.2614413998349434
118636,1.2579579707914614
125497,1.2144744446276057
149324,1.2088516576807757
119598,1.2012689534145684
118635,1.1604990886054285
118633,1.1049417940930661
100025,1.0806889261776655
120506,1.0713857897052645
102887,1.0278720873174114
120841,0.9722209630524324
149322,0.9123489195402259
118634,0.7033711029802946
125498,0.651246685451241
119093,0.5898064431893569
119092,0.4920533057360716
120842,0.4356032280186494
101207,0.4121052637906319
100016,0.2408076762991802
119599,0.20072791240814924
119095,0.1807427395579742
102886,0.14901539240049871
