amfi_code,cagr,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,mdd_rank,overall_score,overall_rank,score,final_rank
120505,0.3280159948038617,32.8,1.5136773148574738,29.50852127298484,-1.7453793025029034,-0.18188513572116294,1.0,9.0,3.0,16.0,29.0,1.0,7.15,1.0
119598,0.3239808398464554,32.4,1.2012689534145684,30.31448674653319,-0.3508009372752363,-0.2870600572176455,2.0,23.0,1.0,5.0,31.0,2.5,7.8,2.0
149324,0.3226210752841656,32.26,1.2088516576807757,29.582105995994862,3.666692667132805,-0.31171900300634214,3.0,22.0,2.0,4.0,31.0,2.5,7.800000000000001,3.0
148569,0.31924485848158723,31.92,1.5990240375272284,28.080299884271543,1.7641274616014238,-0.1639674294693263,4.0,7.0,4.0,20.0,35.0,4.0,8.75,4.0
148567,0.30949920362874206,30.95,1.9016611117550732,26.910672569551767,1.0472156175636842,-0.11265729075028275,5.0,4.0,6.0,33.0,48.0,8.0,11.95,7.0
120843,0.30883325525154603,30.88,1.7117924657090022,27.321125754709385,-0.4369886433639478,-0.1297396816518679,6.0,5.0,5.0,28.0,44.0,5.0,11.05,5.0
100033,0.30099703552874524,30.1,1.433514884573953,26.875229141391046,2.409659525974329,-0.16217208574644848,7.0,13.0,7.0,21.0,48.0,8.0,12.0,8.5
149323,0.29558105232568344,29.56,1.4947355231762343,26.5732615545114,0.12594990971761885,-0.17248105753451382,8.0,10.0,8.0,19.0,45.0,6.0,11.25,6.0
119094,0.28192608222062465,28.19,1.329810368779613,26.273168995885477,-2.8728622961125527,-0.20960883862039192,9.0,17.0,9.0,13.0,48.0,8.0,12.0,8.5
119551,0.2578492084946409,25.78,1.6765582997755326,23.454374664870613,-2.5189498642974644,-0.1501238549864533,10.0,6.0,10.0,24.0,50.0,11.0,12.5,11.0
118632,0.2403119561352478,24.03,1.536482459529055,21.578525052396888,1.6156595158068248,-0.17414075086657232,11.0,8.0,12.0,18.0,49.0,10.0,12.2,10.0
101206,0.23520488754230384,23.52,1.4689284556938418,21.465600456186987,-0.006730818908691658,-0.11291596329323073,12.0,12.0,13.0,32.0,69.0,14.0,17.2,14.0
