amfi_code,alpha_calc,beta_calc
100016,3.500802012277681,0.4843355020744266
100025,4.333049544115673,-0.3422176726339635
100033,26.875229141391046,2.409659525974329
101206,21.465600456186987,-0.006730818908691658
101207,11.024955018619277,-2.3588228858982982
101208,6.085212112251845,0.012587504716301351
102885,17.094095164685527,-0.7555188223630713
102886,3.194911544827528,-3.0680122817594846
102887,16.106251568117862,1.1217405044515627
118632,21.578525052396888,1.6156595158068248
118633,15.755299358545503,-1.6086486639146476
118634,17.56812317733217,1.801235144289969
118635,15.065271641931977,0.4783934691773845
118636,5.106074372270833,-0.19685309804787476
119092,6.701143712338227,1.6382992455286165
119093,8.09181726569557,1.5830155014591212
119094,26.273168995885477,-2.8728622961125527
119095,4.8752775811319395,-2.0067492788233503
119120,5.606050670324882,-0.035082554474262444
119551,23.454374664870613,-2.5189498642974644
119552,20.04759738244674,-1.8618719456253623
119598,30.31448674653319,-0.3508009372752363
119599,4.932806552405366,1.0072663601756604
120503,17.55417235928387,0.18104631368765245
120504,21.609064980413415,-2.613923398813752
120505,29.50852127298484,-1.7453793025029034
120506,16.00230125795732,2.729891461008753
120507,6.751273831066395,-0.04613556409755695
120841,13.270798966179028,-0.8324367260956678
120842,8.048155879789702,-1.3501034947778527
120843,27.321125754709385,-0.4369886433639478
120844,6.4605419002663504,-0.04375058641499332
125497,17.762203771043477,0.8449617960571595
125498,11.764356212760838,1.8124989067816777
148567,26.910672569551767,1.0472156175636842
148568,20.841945067406474,-0.35965236798082756
148569,28.080299884271543,1.7641274616014238
149322,13.30751678653264,-1.0532478260407636
149323,26.5732615545114,0.12594990971761885
149324,29.582105995994862,3.666692667132805
